"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u19612",-4.03,1.94,-9.56,3.74,3.2,-1.84,-0.78,-4.9,-4.03,-9.66,4.51,-6.94,-4.9,8.79,7.04,-9.81,7.23,2.04,-4.81,-2.33,4.95,-9.81,-9.56,-9.66,1.94,3.79,2.18,-8.45,7.23,-9.85,-4.22,1.26,-9.81,1.7,-0.05,5.92,9.17,0.29,-9.66,5.39,3.25,-1.8,-9.85,-7.23,-9.66,6.89,-5.97,-3.54,-7.09,6.5,3.11,-9.66,5.58,-0.53,-9.51,2.18,-9.66,-1.07,-1.75,-1.75,1.65,0.58,-9.66,-9.66,8.93,7.72,-9.66,-0.49,-0.83,-3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA
"u20943",8.59,9.03,-9.32,-9.66,4.61,2.18,8.88,-4.22,-9.76,-1.12,-0.63,1.94,-9.76,9.08,7.48,-9.17,-1.84,-1.26,8.69,3.98,8.25,1.36,-7.52,-9.17,8.88,5.1,7.72,8.54,8.64,-8.59,8.79,8.88,8.98,-0.49,8.45,9.22,3.2,-2.28,0.87,9.27,-6.75,6.7,-9.76,-8.98,9.13,9.03,1.07,7.96,0.19,8.54,4.66,8.88,9.13,9.13,-5.63,1.26,-8.79,-9.13,-9.71,-8.59,3.5,8.93,7.67,-9.13,9.22,8.54,-9.42,7.23,8.3,-8.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,-7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.64,NA,NA,NA,NA
"u1228",6.41,-4.47,2.33,-6.12,8.01,7.82,7.86,7.43,7.57,3.11,-5.83,2.57,-4.47,6.6,3.2,6.94,-3.45,8.2,-0.24,-6.6,-0.83,2.62,7.67,-0.83,1.8,-6.41,-1.36,6.8,-8.16,3.45,-0.49,-4.27,-0.29,2.28,7.77,-0.83,2.48,6.36,5.44,1.8,2.33,7.77,-6.65,-1.12,7.18,1.75,7.18,6.84,7.82,-4.51,-0.73,-3.45,1.7,6.65,4.37,6.94,7.43,-7.67,5.15,7.04,7.28,7.91,4.47,-1.41,-7.62,1.26,-1.12,8.83,7.43,3.88,6.94,-0.29,6.84,-7.23,-7.23,-1.46,1.89,6.75,6.21,-1.07,-7.28,5.97,7.38,7.14,5.92,6.46,-2.28,2.14,7.09,6.31,7.57,8.3,7.33,5.73,6.02,6.36,6.84,-6.26,5.44,-5.1
"u16510",8.79,3.79,2.28,-9.76,1.84,-9.85,8.88,0.87,-2.38,2.67,-7.14,5.49,-9.42,-1.89,8.93,6.07,-1.07,5.49,0.92,-8.25,5.05,-1.65,-9.61,-9.27,-6.31,6.36,7.72,-6.89,-9.22,-9.47,8.79,2.14,-3.69,4.85,-9.71,4.03,1.46,4.71,-4.37,-9.37,-9.47,8.4,0.78,3.74,-9.22,2.09,-9.71,6.41,8.54,7.43,-9.71,-9.71,-9.56,-9.42,-4.22,-9.37,-9.27,2.18,1.89,-4.81,4.85,8.69,-6.46,-0.49,8.93,-8.88,-9.22,-4.08,4.66,-6.02,7.52,6.6,4.95,-3.83,5.87,6.41,-4.56,4.71,-9.08,8.83,5.87,5.15,-8.93,-2.82,2.57,0.39,2.38,7.04,6.65,6.41,6.41,4.95,2.62,2.86,8.93,-4.03,6.55,-9.76,-9.27,-9.27
"u20706",1.17,-4.9,-9.76,-9.81,4.71,2.62,-8.83,-7.67,0.83,-3.79,-7.57,3.5,-0.83,1.94,4.95,-7.28,-0.83,1.55,-3.64,2.23,4.22,2.48,-9.08,-9.76,-9.56,3.4,8.5,4.85,4.47,-3.98,3.69,7.82,-8.69,-0.49,7.77,4.37,-4.76,5.39,-9.27,1.36,-7.82,3.45,-4.17,-9.76,2.43,2.82,5.63,4.95,8.74,-0.19,-6.6,-2.91,3.54,8.88,3.25,0.83,-7.38,-9.9,3.25,0,4.85,8.35,3.11,-4.27,1.55,4.47,-3.06,4.66,3.79,-0.53,3.74,0.58,-2.14,1.31,1.21,1.07,-2.96,3.3,1.17,2.43,3.98,-0.39,1.36,-0.15,2.91,2.77,2.91,2.52,3.69,2.72,3.64,-3.35,2.04,3.11,0.1,3.16,4.22,-0.34,0.83,0
"u18270",2.57,8.45,-4.9,2.23,3.64,6.94,9.22,3.16,NA,5.29,7.09,4.22,-9.76,5.83,-9.61,-9.61,-3.88,-9.32,-9.81,6.8,0.87,8.45,4.61,NA,7.67,7.48,8.74,-1.7,1.26,5.44,3.16,0.05,0.49,8.45,0.05,-8.83,-8.3,0.53,-0.34,7.48,3.2,7.04,2.82,NA,5.44,8.59,9.17,1.84,8.88,1.99,8.59,-0.53,8.06,-0.1,0.53,8.74,NA,NA,0.53,2.57,2.23,5.1,-1.17,2.57,0.73,3.64,-6.07,5.44,-6.12,5.19,NA,NA,NA,-0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,NA,NA,NA,NA,NA,NA
"u20305",7.43,-8.4,-4.85,-7.28,4.71,1.55,-1.99,-7.48,0.83,7.72,2.23,-5.44,-5.49,-8.01,-7.28,3.01,-3.79,1.6,4.22,0.44,0.73,-4.17,2.91,3.64,-1.21,0.58,5.58,-3.06,1.55,1.21,0.15,5.44,2.18,-4.61,-6.8,5.15,-3.98,0.73,5.92,6.02,-3.83,-3.4,-2.77,3.2,4.22,5.92,3.01,2.86,3.74,5.24,-2.96,-3.83,5.44,5.87,2.62,-3.06,-2.62,-4.9,3.35,-6.07,2.28,8.35,2.91,-5,4.76,-3.83,0.73,5.1,7.09,5.1,1.07,1.65,4.95,-6.6,1.07,2.86,-7.28,-0.87,-2.77,-5.92,-8.06,4.9,0.92,0.92,5.19,6.26,5.05,1.41,5.39,-2.04,-2.04,-5.24,2.09,6.99,-1.26,-1.12,6.89,-8.2,0.15,2.18
"u3131",3.16,-0.53,6.55,-4.56,-6.5,-1.36,0.49,-0.63,2.14,7.77,7.77,2.77,4.27,6.26,5.49,-6.07,5.05,5.49,-2.23,5.53,3.3,0.24,2.96,7.72,2.72,2.86,0.63,0.58,2.52,3.93,1.41,-4.32,-4.61,0.39,0.63,-1.12,5.1,5.39,0.05,2.57,8.11,-3.54,5.24,-8.4,5.53,4.76,1.6,-7.43,5.34,9.03,-3.45,9.03,-1.07,3.69,8.88,1.21,5.05,-2.52,-0.87,7.48,1.07,3.11,0.29,-8.69,3.54,0.63,3.98,3.11,-3.83,6.02,-1.84,-3.3,-1.89,-1.89,-1.99,-4.03,-4.37,-2.52,-4.56,-8.16,7.72,0.58,-8.06,4.9,7.82,4.27,3.25,7.33,8.06,2.33,1.02,7.72,-3.2,-1.94,5.87,-3.45,6.65,-5.49,-1.75,0.58
"u19436",-5,4.9,2.18,-5.97,0.58,-3.06,-6.55,2.09,-5.29,2.91,3.64,-1.7,-1.7,-5.34,-8.35,-6.02,0.44,-8.54,3.98,-6.55,0,3.3,-1.99,-6.55,-3.01,-0.73,2.28,-4.71,-4.51,-4.08,3.59,3.88,3.11,3.11,1.21,3.69,-5.78,2.67,4.27,-0.63,-4.95,-5.05,-3.4,-6.12,6.21,-6.5,-3.69,-3.83,-4.27,4.51,-5.68,-1.26,-4.17,3.45,-3.5,-5.78,-6.7,-7.04,-4.13,-7.62,1.89,-4.27,-3.74,-4.17,1.21,3.2,1.5,-2.62,-3.3,0.58,-7.18,0.58,-2.86,-1.02,3.88,2.43,-6.02,-0.49,-1.07,-4.03,5.73,2.04,2.14,-6.75,2.33,-4.71,3.45,0.05,-6.46,1.7,0.05,3.06,-3.83,-1.5,-1.6,1.46,-5.53,-4.66,-5,2.77
"u8701",4.85,-1.41,-2.43,-3.01,0.05,6.36,5.97,-0.44,-3.79,4.51,-1.99,-3.4,-5.49,1.17,4.03,-4.03,2.52,-3.79,4.32,3.11,-1.12,4.81,-2.18,-3.01,-2.04,0.1,3.01,3.2,-0.1,-2.43,6.31,-0.05,-4.51,-1.12,-1.84,0.49,0.78,2.96,-4.27,-0.97,4.61,1.07,1.02,-1.65,6.89,3.83,1.6,3.93,3.59,4.76,-4.56,-0.19,3.5,6.65,-3.45,1.89,-3.01,-2.14,-1.94,5.19,2.86,6.12,3.74,0.83,-2.57,6.84,3.54,5.83,2.43,-2.77,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u23202",NA,NA,NA,NA,-7.09,NA,-1.12,5.68,NA,NA,2.18,2.77,-4.08,-4.71,-8.59,3.98,-0.92,-7.91,-2.96,-4.61,5.97,2.57,NA,NA,-3.98,3.69,-4.81,NA,4.08,NA,1.07,-2.43,NA,-0.05,1.89,6.94,1.5,-4.47,2.09,-2.38,NA,2.62,3.98,2.14,-4.08,-3.3,NA,-6.5,-1.31,4.71,NA,NA,3.06,-2.52,NA,0.97,NA,NA,NA,NA,3.93,-4.08,NA,NA,6.6,0.87,NA,1.17,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA
"u22762",NA,NA,NA,NA,4.17,-4.42,0.39,-1.65,NA,-4.08,7.86,-3.93,-1.55,-6.8,3.98,-0.53,-0.53,-1.26,4.17,-0.92,4.76,-2.67,NA,NA,-5.15,-6.65,1.94,-1.36,-7.43,-1.84,1.6,-0.49,NA,-3.06,1.17,-0.39,NA,-4.13,4.85,-2.67,1.94,6.55,NA,NA,-2.52,-3.45,-6.89,-1.7,-2.33,7.77,2.72,-4.08,1.41,-0.58,-4.61,0.19,NA,NA,-8.88,NA,1.89,-0.73,NA,NA,7.86,2.18,NA,-0.53,1.5,-5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u14498",1.65,8.2,7.04,5,-7.48,6.99,-2.28,-1.65,6.17,7.14,8.83,5.34,-2.14,3.83,-2.52,-3.16,-7.09,-1.94,-2.38,-2.18,5.44,5,1.99,1.17,5.1,5.78,5.1,2.86,2.67,5.34,5.58,0.53,1.07,5.78,5.29,5.19,6.02,8.01,7.72,0.1,1.89,5.24,1.8,1.26,2.28,2.57,5.24,1.65,5.49,6.31,-2.48,2.57,0.97,3.11,3.25,1.12,7.52,-0.78,5.83,1.46,6.31,1.7,-1.89,1.75,5.1,-4.13,0.53,2.72,1.75,8.3,2.62,4.85,5.63,0.78,7.04,5.78,2.86,6.89,2.18,5.68,3.01,7.38,6.84,6.6,1.07,3.16,5.39,3.98,6.21,8.2,0.87,4.13,7.04,7.91,7.77,7.23,7.18,6.46,5.39,2.86
"u2704",-3.45,9.08,-0.39,-0.68,1.75,9.03,-1.99,-3.06,-0.24,9.13,7.38,6.21,1.26,8.64,-9.61,-9.51,0.83,-8.11,-1.99,-1.99,9.08,5.53,9.22,-4.32,9.22,8.59,9.27,6.6,9.22,3.69,9.08,-0.97,9.13,9.08,9.22,9.17,-2.72,-9.61,5.53,7.23,-1.31,5.15,-3.74,-6.31,9.17,5.15,9.22,8.69,9.13,9.13,-0.49,5.05,9.27,9.13,-0.58,8.98,-9.76,-8.4,6.41,-0.39,9.22,8.98,0.87,-8.3,9.17,9.32,4.27,9.27,2.77,8.88,-0.92,9.32,9.27,-3.2,-0.05,4.08,-0.87,8.01,3.64,9.32,9.13,-1.36,-4.17,3.88,9.27,-2.77,9.27,-0.58,9.22,1.84,-9.17,0,8.35,-1.84,-0.34,9.17,9.22,-2.86,-0.34,7.43
"u19179",7.38,1.75,1.75,1.7,-1.02,7.43,8.11,3.25,4.08,3.4,3.45,6.89,1.07,3.25,-1.36,-1.07,-0.63,3.59,4.13,0.58,7.33,3.35,5.87,4.08,6.65,4.61,7.18,-2.62,8.3,6.12,5.97,7.62,2.57,7.09,6.21,8.2,4.13,4.71,4.71,4.03,4.37,6.84,2.72,5.05,6.55,4.61,5.44,6.7,7.04,7.72,6.21,6.6,5.97,7.67,1.17,7.52,1.7,7.91,6.5,2.72,6.5,8.54,5.73,2.72,4.61,7.14,2.96,7.28,1.46,6.21,5.92,2.62,5.34,5.34,5.39,5.68,6.12,6.55,4.08,2.33,4.08,4.08,4.08,4.27,5.63,4.61,4.61,2.67,5.97,5.15,-2.28,5.68,8.4,5.05,5.05,5.68,4.85,1.7,6.55,6.84
"u14725",5.78,2.09,-9.71,-9.81,-6.84,7.14,-9.22,1.26,-6.6,3.88,7.57,8.93,3.74,9.17,-5.19,-7.82,1.7,3.3,2.28,-9.22,4.17,1.75,7.28,0.68,8.79,8.45,4.85,7.82,8.83,-3.54,8.93,8.54,-9.51,5.58,8.64,8.88,-9.17,8.88,2.33,6.89,-9.66,8.69,-9.61,3.16,8.4,8.88,7.72,7.91,8.93,8.69,-5.39,9.03,8.59,9.08,8.98,7.57,7.67,-9.47,-2.57,4.85,8.79,8.93,8.98,-9.27,8.69,5.63,-4.27,8.4,8.69,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.98,NA,NA,NA,NA,NA,NA,NA,8.64,4.32,NA,NA
"u2160",NA,NA,NA,NA,3.35,NA,6.94,-0.49,NA,NA,NA,NA,-7.82,NA,3.93,6.12,-3.3,3.35,-6.07,-0.39,6.36,-1.17,-5.05,NA,NA,NA,7.52,3.93,0.78,NA,2.91,5.44,NA,NA,4.76,7.48,-3.01,8.59,NA,6.36,NA,3.4,NA,NA,NA,5.19,-5.15,2.91,3.59,7.04,NA,NA,8.2,4.71,3.01,5.92,NA,NA,NA,-2.96,NA,2.52,-4.9,NA,1.36,4.47,NA,-4.13,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.65,NA
"u16080",-9.47,4.42,-1.46,-8.74,-3.01,3.3,-6.6,4.03,1.26,1.84,-6.8,-6.55,2.67,-6.6,5,-6.31,-8.69,-6.21,-6.21,-6.6,3.98,-0.97,-7.43,-5.92,3.74,-4.76,0.24,-6.8,5.78,-6.31,2.18,0.83,-6.41,-5.49,5,4.17,2.62,-5.19,-8.11,-1.07,-2.18,-3.54,-9.47,4.76,3.98,-2.77,-6.6,1.12,5.15,7.18,3.25,3.16,3.16,6.12,4.9,0,-1.99,-7.91,-7.33,3.45,3.69,-4.08,-6.7,0.92,-4.61,3.64,-2.33,3.11,6.21,-3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,1.5,-0.19,6.12,-2.48,4.9,3.64,2.62,8.35,-5.87,5.87,6.94
"u8125",NA,NA,NA,NA,-9.37,NA,-9.42,-9.51,NA,NA,NA,1.84,8.59,-0.49,-8.98,8.59,2.52,-9.71,-0.83,-4.27,0.15,NA,NA,NA,NA,NA,-0.29,-7.18,2.86,NA,-9.47,8.69,NA,NA,6.36,9.03,NA,8.01,-5.87,NA,NA,-0.44,NA,6.6,0.24,3.64,1.5,8.69,0.58,7.18,NA,NA,-0.53,8.54,NA,-0.58,0.73,NA,NA,NA,0.63,9.03,-4.08,NA,-3.11,8.16,NA,-0.58,-4.27,1.84,NA,-0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.97,NA,NA,NA,NA,NA,-9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u20437",NA,NA,NA,NA,-3.2,NA,-6.8,-5.68,NA,NA,NA,NA,-4.56,NA,-4.56,-4.08,-4.56,-7.52,-4.13,-6.89,0.05,NA,NA,NA,NA,0.15,-1.94,-0.53,-1.8,NA,-0.49,-2.77,NA,NA,-2.52,-3.54,NA,NA,-0.78,NA,NA,-0.68,NA,NA,NA,-4.03,-5.44,0.44,-3.11,-1.8,NA,NA,-1.17,-1.07,NA,-0.44,-6.5,-7.38,NA,NA,-0.92,-2.82,NA,NA,-6.26,-2.62,NA,0.05,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u6062",5.73,8.35,-4.71,3.74,4.13,3.64,-7.72,3.98,4.03,-3.83,7.52,-0.29,3.4,8.06,-9.32,-0.83,-6.5,-5.15,1.36,-3.54,5.63,4.76,7.28,-9.08,3.74,-0.53,7.28,6.8,2.86,-4.81,6.26,5.97,-9.22,-2.96,-0.34,8.3,-8.4,5.19,3.59,7.52,4.27,1.36,3.35,-3.54,3.79,-8.69,-9.27,3.88,8.88,-0.53,4.37,3.25,6.02,8.11,2.96,6.46,-4.81,-6.31,-5.05,5.78,6.31,8.5,7.52,3.88,7.04,7.09,-4.66,6.6,6.36,4.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03,NA,8.4,NA,NA,NA,NA,9.08,NA,-3.2,NA,NA
"u8894",NA,NA,NA,NA,3.11,NA,0.58,-3.4,NA,NA,6.21,8.69,1.12,8.79,-9.32,-8.59,4.22,0.92,7.33,5.34,8.16,3.35,NA,NA,-6.6,5.39,2.96,NA,8.2,NA,7.72,-9.27,NA,NA,3.59,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,4.66,-3.83,6.46,NA,NA,9.27,-4.22,-3.25,2.67,NA,NA,NA,-5.1,6.07,3.64,NA,2.09,8.83,5.92,NA,4.32,2.72,NA,NA,NA,NA,NA,NA,-4.47,NA,NA,NA,NA,NA,NA,NA,9.22,NA,NA,NA,NA,NA,NA,NA,NA,8.83,NA,NA,NA,NA,NA,NA,NA
"u22617",NA,8.5,NA,NA,6.6,NA,-7.96,-7.18,NA,NA,-1.31,3.88,-8.5,3.98,-4.03,-4.03,-0.34,-6.02,-7.38,-7.77,-2.77,2.28,-0.39,NA,2.09,-3.59,-0.24,-6.5,6.55,NA,-6.21,5.15,NA,-0.29,-2.86,-0.49,NA,NA,-4.95,NA,NA,-0.24,NA,NA,NA,-2.23,NA,-2.23,0.87,6.02,7.82,-0.05,-0.34,3.4,NA,-0.19,NA,NA,NA,NA,1.99,0,NA,NA,6.02,3.59,NA,-4.71,1.7,-0.05,NA,NA,NA,NA,NA,NA,-6.5,NA,-4.37,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.67,NA,NA,NA
"u13771",NA,NA,NA,NA,0.1,NA,-7.43,-5.68,NA,NA,NA,NA,5.78,2.62,-6.55,-6.6,0.58,-6.89,3.59,-6.46,5.78,NA,NA,NA,NA,7.48,-1.94,NA,5.78,NA,5.87,2.82,NA,NA,0.1,1.02,NA,2.77,NA,NA,NA,3.01,NA,NA,NA,5.87,0.87,5.97,5.92,6.41,NA,NA,5.29,1.07,NA,0.92,-1.41,NA,NA,NA,5.15,-2.72,NA,NA,5.29,6.55,NA,5.19,-4.56,NA,NA,NA,NA,NA,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.41,NA,NA,NA
"u19735",NA,NA,NA,NA,3.69,3.35,2.52,4.27,NA,NA,1.55,2.14,3.88,0.44,5.68,-5.63,1.17,-0.78,-6.75,6.26,8.64,1.7,NA,NA,NA,3.54,8.93,-3.98,6.75,NA,6.26,8.93,NA,3.35,9.08,6.94,NA,8.3,-3.59,-0.58,NA,-0.15,NA,NA,NA,7.96,NA,3.88,3.3,8.11,NA,1.8,8.3,8.4,NA,-1.02,NA,NA,NA,NA,9.13,2.72,-0.63,NA,5.92,3.59,NA,4.61,9.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23,NA,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u953",-4.03,-5.19,-1.94,-7.72,1.36,4.17,4.95,-5.1,3.45,-6.12,-7.48,-5,0.1,3.5,-8.59,5,3.2,4.03,-4.71,-9.47,-0.24,4.22,1.89,-8.2,0.87,-3.06,7.38,-1.07,4.47,-4.17,1.65,6.65,-7.28,-2.23,7.72,1.5,-6.6,-5.05,-2.48,-3.59,3.54,3.93,-7.48,-9.51,-4.03,3.83,7.14,7.23,-3.59,3.5,-0.92,-3.4,-1.7,9.03,1.99,-4.27,2.86,-9.03,2.04,-4.85,1.99,2.33,-6.02,-5.92,-3.3,4.22,-2.62,-0.39,6.36,-2.48,-3.79,6.21,1.94,-4.47,-2.28,4.76,-0.78,1.46,0.24,-3.98,4.9,5.87,4.32,-4.17,7.67,-2.43,0.49,3.64,6.65,-3.5,4.03,1.75,5.19,1.12,6.26,5.24,4.81,-4.22,-3.4,2.96
"u974",NA,NA,NA,NA,-5.68,-0.19,-5.83,1.02,NA,-4.51,1.17,2.72,-7.52,-0.68,5.87,-6.6,-3.54,-5.44,2.48,1.6,-0.1,-0.19,-3.16,-8.5,-0.58,1.89,1.5,-0.53,1.46,-0.49,0.15,5.92,-3.93,-0.58,0.63,4.08,NA,-0.58,5.78,-1.02,2.14,5.05,-3.45,NA,-0.58,3.25,5.49,0.15,1.84,2.67,-0.44,-2.82,1.94,0.49,8.5,6.84,NA,NA,-0.44,NA,-0.05,1.12,8.25,-4.22,2.62,1.99,2.82,1.12,-4.85,-0.58,NA,NA,NA,NA,NA,2.72,NA,NA,-1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u24536",2.43,-4.03,4.17,-3.54,-7.48,0.1,-6.41,4.76,3.64,5.24,7.04,-7.28,-3.2,-6.8,-4.32,-5.29,-7.09,3.88,2.52,3.88,-8.2,-6.65,-5.44,3.45,-5.1,-3.11,4.51,6.31,-7.62,3.5,1.46,6.31,3.4,3.4,5.49,5.34,-4.9,3.93,-6.12,8.54,-6.5,-6.5,3.01,-4.71,4.76,-6.7,-1.17,5.34,2.48,4.37,-5.87,-6.6,3.54,3.35,6.94,-6.17,-1.46,-8.2,-2.72,4.03,6.65,1.07,2.48,-3.5,-6.6,7.82,2.82,3.5,6.02,2.96,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u5847",1.21,-1.7,-1.94,-2.48,3.83,3.93,3.25,0.29,-2.38,0.15,1.46,1.8,4.17,3.5,3.98,0.24,1.46,-1.36,5.63,4.95,0.87,2.04,3.93,-2.28,4.22,2.09,4.17,3.69,6.41,2.82,5.15,7.43,-0.68,4.37,4.85,4.56,-1.6,2.48,1.94,1.17,4.66,4.81,-2.04,-2.38,5.63,0.68,3.69,6.94,5.1,3.45,3.35,2.91,5.87,2.14,3.88,4.81,-1.84,2.91,-0.34,-1.17,3.3,4.03,3.69,-2.09,3.2,3.79,-2.62,3.74,0.68,3.93,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u6175",0.73,0.1,3.83,1.26,6.5,0.78,3.01,2.52,-1.21,-0.29,4.42,-0.53,-1.75,-0.39,-1.89,5.39,5.19,-3.59,5.44,6.36,5.92,-0.34,-1.21,-1.21,-1.17,-1.46,2.18,0.39,-1.94,-0.15,-1.41,1.5,0.53,-1.17,1.41,2.18,-2.96,2.77,0.1,6.5,-5.44,5.24,-0.92,-1.21,-1.8,-1.07,-0.39,0.29,-0.39,6.02,2.28,-0.29,3.16,0.78,-1.12,5.92,4.47,-2.23,-1.17,-1.55,0.39,-0.49,-3.25,-0.92,6.17,-1.12,-0.97,-2.14,3.5,-1.12,-6.8,3.59,3.01,1.6,3.5,5.05,0.29,3.25,3.2,3.2,0.73,-2.43,-4.13,-3.5,1.99,-0.63,3.88,0.63,1.94,-2.72,-3.79,-2.67,0.05,0.63,7.09,7.09,3.16,-3.5,-0.92,2.57
"u15274",NA,NA,NA,NA,-8.3,NA,-3.3,1.8,NA,NA,NA,-5.83,4.32,-9.56,5.24,-4.66,-6.12,-8.64,-2.96,-8.45,-1.55,NA,NA,NA,1.21,-6.84,2.96,NA,-7.04,NA,-4.56,-1.07,NA,NA,-5.39,-6.65,NA,NA,NA,NA,NA,5.49,-1.75,NA,4.95,6.65,NA,2.77,3.16,3.11,NA,NA,-7.91,-1.6,NA,1.94,NA,NA,NA,NA,2.43,-4.27,NA,NA,-6.65,-8.4,NA,-8.25,-7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u9920",NA,6.17,NA,NA,5.63,-6.07,5.49,5.68,NA,5.34,5.49,4.56,-6.41,-5.49,1.8,0.87,-0.63,2.57,5.44,-6.75,5.24,6.65,6.31,NA,5.63,3.2,-8.54,-6.17,-7.38,NA,-0.15,-0.15,6.12,7.43,0.24,7.23,NA,6.12,5.63,5.44,6.12,4.85,NA,NA,6.75,5.92,-6.21,6.36,-0.58,6.02,4.85,-9.03,5.29,-2.62,6.46,5.05,NA,NA,5.15,5.34,-7.72,-5.78,-7.91,6.65,-7.23,5.78,NA,1.07,2.82,5.92,NA,NA,NA,NA,5.24,NA,NA,NA,NA,NA,NA,NA,NA,2.57,NA,NA,NA,NA,NA,NA,-6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u19523",NA,7.28,NA,NA,-0.29,NA,-9.61,-1.84,NA,NA,8.25,-0.29,-4.37,-9.22,-9.61,-9.81,-9.81,-5.34,3.79,-9.42,1.65,-0.29,8.25,NA,-0.29,-7.09,-0.29,-9.42,3.98,NA,7.86,-0.29,NA,5.92,7.67,8.06,NA,NA,-0.29,-0.29,NA,-0.29,NA,NA,NA,-0.29,-0.29,-0.29,4.17,0.1,-4.76,5.73,6.31,-8.25,NA,-6.31,-9.42,NA,NA,NA,-6.31,-0.1,NA,NA,7.67,-0.29,-5.15,0.87,-4.95,0.29,NA,NA,NA,-2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
